AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
81.79,20.06,43.99,97.28,64.45,29.59,56.93,,45.0146,45.1533,33.72,13.43,51.03,55.53,144.14,15.555,84.814,165.45,59.96,7.02,94.42,1579.124,51.97,54.8,40.74,17.7,170.65,52.89,163.57,96.87,34.46,29.36,24.91,145.56,9.09,64.09,82.32,22.58,60.14,73.35,62.5,57.13,34.48,30.14,78.18,60.96,107.71,34.77,126.338,59.58,22.99,53.356,20.54,24.89,107.2454,71.18,18.71,136.42,49.91,95.02
82.91,20.21,43.33,97.04,64.65,29.8,56.78,,43.494,44.76,33.03,13.22,50.88,55.735,143.69,15.38,84.82,166.29,59.95,7.04,95.18,1563.382,51.44,54.43,41.31,17.8,171.61,52.71,169.65,96.61,34.63,29.34,24.32,144.85,9.22,63.85,80.15,22.23,59.7,73.62,63.1,57.07,34.16,30.02,77.06,60.75,107.71,34.91,131.709,58.91,22.83,53.3742,20.24,24.99,107.9198,71.07,18.57,135.09,50.04,95.04
84.13,20.25,43.71,97.16,64.88,30.25,56.86,,42.3918,44.1733,32.52,13.21,51.33,55.615,142.27,15.5,84.43,165.98,59.41,6.89,96.43,1569.308,51.96,54.47,41.22,18.02,173.98,52.95,169.25,97.26,34.27,29.46,24.48,144.5,9.37,64.06,79.48,22.3,59.91,73.69,63.3,57.37,34.0,29.83,77.15,60.78,108.25,35.37,133.718,58.68,22.64,53.6566,20.45,24.89,107.2973,70.91,18.41,135.91,51.68,94.82
84.19,20.44,43.7,96.77,64.89,29.45,57.03,,42.8745,43.5,33.47,13.23,51.34,55.57,141.58,15.685,84.36,166.26,59.99,6.96,97.68,1579.348,52.73,54.43,41.69,18.04,176.74,52.94,169.45,97.5,34.93,29.67,24.23,143.7,9.33,64.3,80.03,22.42,60.06,73.48,64.3,58.19,34.07,29.69,75.93,60.9,108.16,36.01,134.3,59.18,22.41,54.0301,20.87,25.24,107.5774,70.9,18.61,136.62,51.01,95.64
85.11,20.35,43.39,93.33,63.25,29.81,56.3,,42.1987,43.0267,31.42,12.99,51.16,54.74,136.77,14.815,83.914,165.97,57.26,6.44,95.91,1567.612,53.16,53.85,40.56,18.43,177.12,52.29,172.87,96.11,33.96,30.3,22.48,145.29,9.25,64.2,79.64,22.13,59.66,71.94,64.1,57.33,33.12,29.24,74.01,61.26,106.06,36.03,139.777,57.67,20.77,52.0442,20.52,25.05,106.789,69.8,18.08,135.01,50.61,96.45
89.03,20.63,43.66,96.52,65.0,30.86,56.18,,42.1987,42.8,31.64,12.82,50.47,55.17,137.82,14.97,83.514,164.75,58.0,6.47,95.75,1567.525,52.78,53.66,40.52,19.2,181.12,51.86,170.29,95.74,34.39,29.43,22.9,146.9,9.64,63.6,80.37,22.21,59.67,73.43,64.01,57.42,32.76,29.45,74.22,60.01,107.04,36.02,138.386,57.09,20.64,52.4723,21.2,24.97,106.955,70.71,17.89,133.49,53.01,95.65
89.27,20.37,44.48,97.33,66.15,30.99,56.27,,42.5125,42.8267,31.64,13.17,50.03,55.03,137.56,15.145,83.014,164.66,58.27,6.74,95.95,1567.135,54.22,53.26,41.56,19.04,175.51,51.42,172.7,96.65,34.41,28.91,22.74,148.49,9.52,63.54,78.85,22.43,59.91,72.59,63.3,57.85,33.1,29.3,75.14,60.08,106.39,36.0,139.649,57.25,20.96,52.9734,21.55,25.03,107.2558,70.78,18.15,131.47,53.53,96.79
88.83,20.59,44.92,97.76,66.4,30.39,56.74,,42.6814,42.9933,32.16,13.0,50.24,55.16,137.51,15.355,83.488,164.46,58.36,6.86,97.43,1573.383,54.22,53.84,42.11,19.89,173.59,52.02,170.39,97.49,36.23,29.2,23.21,151.31,9.4,64.04,79.92,22.64,60.02,72.08,63.43,58.1,33.2,29.78,75.7,61.09,105.84,36.85,136.982,56.68,21.34,52.9369,22.43,25.37,107.3492,70.67,17.26,130.27,52.29,108.04
88.17,20.51,44.42,98.05,67.5,30.01,57.29,,43.7354,43.6,33.05,14.12,50.43,55.395,139.0,16.075,85.244,165.18,58.8,7.23,97.87,1548.888,53.96,54.27,42.64,20.89,168.31,52.27,166.75,97.23,35.15,29.35,24.26,156.97,9.2,63.53,81.24,23.3,59.51,71.84,64.69,58.53,34.0,30.01,77.35,61.07,105.15,37.15,134.674,57.16,22.95,53.6202,24.04,25.45,108.0339,70.9,17.74,129.44,51.28,114.09
92.39,20.43,44.55,97.39,67.22,30.66,57.54,,43.1078,43.8333,32.5,15.55,50.11,55.94,139.27,15.88,85.678,165.78,58.47,7.23,97.84,1588.042,53.39,54.21,42.6,19.67,169.52,52.48,172.26,97.07,34.97,29.34,24.28,153.98,9.89,63.2,82.61,23.06,59.03,71.55,64.09,59.06,33.82,29.8,76.73,60.27,105.73,36.91,138.574,57.25,22.88,53.0098,23.28,25.65,107.3077,71.04,16.84,130.9,53.82,112.73
93.57,20.55,44.66,97.65,68.21,30.63,57.85,,43.1159,44.16,31.53,15.56,50.13,55.81,139.44,15.705,86.296,165.01,58.85,7.47,96.38,1587.682,53.39,54.39,42.8,19.46,169.16,52.5,175.21,96.95,35.12,29.16,24.61,155.26,9.73,63.98,80.7,23.15,59.0,72.02,64.15,58.96,34.21,29.77,76.92,60.21,105.81,37.29,141.19,57.17,23.37,52.6545,23.1,25.56,107.1832,71.52,16.75,132.01,54.2,113.46
90.64,20.53,44.81,98.33,68.36,29.92,58.39,,42.8021,44.2667,31.51,14.84,49.71,55.88,141.72,15.575,87.134,165.29,59.07,7.51,94.33,1601.211,55.0,54.28,43.02,19.91,167.6,52.63,173.79,100.65,35.64,29.07,24.77,154.0,9.37,65.82,80.79,23.15,59.56,72.75,64.21,58.85,34.25,29.79,78.59,61.02,106.25,37.6,132.695,57.41,23.05,52.7456,23.07,25.99,107.4011,72.37,16.55,130.85,52.34,116.3
90.37,20.44,44.1,97.51,68.29,29.38,58.46,,43.4538,44.3467,32.01,15.85,49.82,55.885,140.1,15.975,86.466,166.09,59.8,7.87,95.49,1611.104,54.46,54.31,43.55,20.54,166.2,52.74,167.37,98.69,35.76,28.8,25.55,152.75,9.32,65.21,79.48,23.01,58.9,72.4,62.63,58.48,34.6,29.92,78.49,60.76,106.44,37.73,135.993,57.07,23.93,53.1009,23.32,25.57,106.2807,72.35,17.34,129.79,52.08,120.73
89.61,20.36,44.3,97.14,68.71,29.23,58.55,,42.7619,44.0667,31.2,17.01,50.23,55.765,140.82,15.98,86.484,164.09,59.71,7.91,96.48,1580.956,53.5,54.07,43.55,20.41,164.41,53.02,167.54,99.66,34.54,29.0,25.27,152.44,9.18,65.49,78.4,22.81,59.27,72.23,62.7,58.23,34.62,29.95,77.38,60.65,106.37,37.65,134.966,56.85,23.9,52.7821,23.02,25.67,107.1832,71.88,17.87,130.4,52.36,123.19
87.66,20.38,44.99,96.12,68.16,28.62,56.52,,41.7079,43.6733,31.28,16.96,50.76,55.375,139.63,15.635,85.52,164.61,59.46,7.7,96.97,1625.998,53.94,54.55,42.53,20.42,166.12,53.11,165.76,99.15,34.51,29.09,24.52,149.0,8.79,65.2,79.44,22.4,59.0,72.39,62.39,58.68,33.55,29.46,78.37,60.1,104.86,37.0,135.026,56.59,23.08,51.3883,22.64,25.47,106.4674,71.69,17.8,129.16,51.34,125.12
89.2,20.58,44.96,97.46,68.12,29.01,55.66,,42.0699,43.4667,32.6,17.69,51.72,55.445,140.6,16.005,85.79,166.56,60.23,7.7,99.54,1599.125,53.46,54.65,42.78,20.93,165.61,53.24,167.24,99.28,35.23,29.0,24.83,148.88,9.04,65.14,81.36,22.44,58.6,72.53,62.43,58.0,33.6,29.38,79.55,59.82,104.42,37.07,136.157,56.92,22.88,51.8346,23.57,25.49,106.5919,71.92,18.23,130.33,52.62,126.03
91.01,20.61,44.77,97.43,68.09,29.42,55.76,,41.6194,43.2267,31.99,17.2,51.2,55.7,140.48,15.475,86.458,163.47,60.61,7.52,99.03,1594.476,53.71,54.49,42.41,21.26,169.24,53.12,169.38,99.21,34.8,29.12,24.35,150.04,9.27,65.41,82.17,22.5,58.23,72.73,61.58,57.79,33.0,29.68,79.0,59.72,104.76,36.39,147.468,57.21,22.31,51.3883,23.41,25.6,106.0732,72.02,18.02,129.86,53.19,122.44
92.96,20.66,45.27,97.58,68.11,30.04,55.43,,41.7642,43.42,33.0,16.71,51.29,55.745,141.46,15.62,87.326,166.2,60.94,7.58,101.57,1599.817,54.22,54.39,42.18,21.78,168.38,53.26,173.99,97.65,34.66,28.68,24.41,151.31,9.59,64.67,82.57,22.46,57.78,72.11,61.66,58.2,32.34,29.59,79.09,59.45,104.43,36.0,150.677,56.71,22.83,50.5684,23.3,25.41,106.4778,71.97,17.62,130.39,54.96,123.29
91.59,20.42,45.01,96.44,67.93,29.75,55.51,,41.3217,42.9533,33.49,17.13,50.6,55.99,141.54,15.43,87.946,170.18,60.15,7.57,101.07,1604.135,54.0,54.34,41.93,21.65,169.65,52.52,169.5,98.17,35.79,28.84,24.41,148.88,9.43,64.6,81.52,22.21,57.96,71.63,61.14,57.77,32.08,29.05,79.29,59.72,104.05,35.56,150.092,55.82,22.14,49.9307,22.87,25.43,107.1728,71.78,17.31,129.17,53.79,120.53
92.06,20.4,45.7,96.78,67.87,29.59,54.75,,41.016,42.84,33.27,16.99,50.17,55.89,140.3,15.085,87.278,164.58,59.38,7.36,100.97,1652.442,52.95,54.1,41.55,22.0,171.68,52.08,168.75,96.29,36.0,28.59,23.86,150.0,9.64,64.06,81.8,22.21,58.04,71.51,61.28,57.7,31.54,28.73,79.09,59.17,103.72,35.22,153.744,55.54,21.67,48.3001,22.9,25.33,106.6853,71.5,16.99,130.53,54.73,120.16
90.62,20.58,45.01,96.66,67.99,29.04,54.6,,41.1206,42.6,33.77,16.97,50.9,55.715,140.59,14.885,87.758,166.08,59.65,7.18,101.32,1728.908,52.91,53.9,41.23,21.85,176.37,52.18,165.58,95.5,36.32,28.64,23.56,151.41,9.31,64.02,85.67,22.19,57.93,71.64,60.15,58.64,30.89,28.57,78.18,59.03,103.48,35.26,164.923,55.36,21.22,47.9174,22.41,25.37,106.5193,71.01,16.8,132.65,54.44,120.96
91.31,20.73,44.37,97.33,68.43,29.39,54.66,,41.6838,43.0,34.83,17.48,50.46,56.13,140.01,15.465,87.816,166.88,59.37,7.57,100.79,1652.897,52.71,53.63,41.28,22.99,171.92,52.29,166.72,95.51,36.04,28.55,24.56,150.12,9.51,63.69,92.96,22.49,57.27,71.69,60.42,58.02,31.1,29.2,78.15,59.64,104.86,35.57,154.246,56.0,22.08,48.127,22.93,25.56,106.5193,71.73,17.22,130.09,54.16,121.62
91.64,20.81,45.0,97.25,68.54,29.37,54.81,,42.1906,42.8133,34.53,17.31,50.51,55.17,140.59,15.355,88.126,166.74,59.13,7.57,101.71,1637.516,52.86,53.96,41.25,23.09,174.2,52.49,166.54,95.68,36.09,28.67,24.45,151.76,8.55,63.72,90.47,22.44,57.38,71.74,60.55,58.63,30.85,29.39,77.85,59.9,104.91,35.53,156.812,56.16,21.89,48.2454,22.48,25.57,107.1728,71.86,16.9,130.03,54.33,120.37
91.25,21.29,45.1,97.14,68.66,29.36,54.69,,42.5446,42.46,35.12,17.3,50.42,54.79,141.03,15.23,88.97,166.48,59.18,7.7,102.69,1627.171,53.07,54.08,40.8,22.85,174.41,52.54,160.23,95.61,35.82,28.68,24.45,150.89,9.4,63.46,92.28,22.6,57.42,71.57,60.41,58.31,30.58,29.41,77.89,60.02,105.2,35.8,150.033,56.25,21.56,47.9357,22.6,25.55,108.4696,72.14,16.95,130.15,53.44,122.0
92.09,21.09,44.15,96.61,68.78,29.66,54.6,,42.3837,42.3267,35.6,17.09,50.1,54.505,139.64,15.525,89.108,167.99,58.83,7.84,101.15,1615.19,52.67,54.31,40.82,23.68,172.61,52.38,160.88,95.37,35.7,28.77,24.62,149.51,9.64,63.12,91.77,22.52,57.22,71.58,60.2,58.0,30.19,28.96,78.92,59.62,104.82,35.75,148.248,56.26,21.76,46.715,23.55,25.32,108.5111,72.02,17.54,129.99,54.8,120.96
89.59,20.95,43.5,96.78,68.8,29.0,54.43,,42.3355,41.9867,35.27,17.05,49.99,54.36,139.94,15.295,88.306,167.33,57.79,7.75,100.99,1619.295,51.88,54.1,40.71,22.85,174.22,52.0,159.6,95.08,35.59,28.65,24.16,150.72,9.34,62.81,90.11,22.65,56.8,71.64,61.24,57.84,30.1,29.23,77.83,59.26,104.59,35.63,143.732,56.6,21.35,47.1431,23.1,25.21,108.0754,71.92,17.16,130.52,53.16,120.59
96.21,20.78,43.7,95.99,67.72,31.49,54.98,,40.5815,42.12,34.03,17.13,49.08,54.01,140.03,15.605,88.152,166.37,57.96,7.91,99.85,1619.295,52.22,53.67,40.85,24.81,171.12,52.17,168.61,96.26,34.99,28.94,24.75,149.75,10.22,63.75,89.05,22.43,57.6,71.59,63.19,58.01,30.56,29.15,75.95,60.67,104.68,35.75,139.619,56.45,21.39,47.5439,24.25,25.44,107.2662,71.94,17.16,129.38,57.93,120.09
94.07,20.71,43.99,96.46,67.93,30.77,55.87,,39.7689,41.78,34.6,18.45,49.71,54.575,140.66,16.83,89.5,170.33,58.71,8.41,100.99,1622.469,53.17,52.85,42.3,24.55,171.4,51.2,167.65,96.13,35.53,28.97,26.68,150.75,9.99,63.83,92.3,22.73,57.67,71.18,63.55,57.92,32.23,29.33,74.73,61.03,105.35,36.11,141.256,56.67,23.13,48.8558,24.79,25.71,107.9301,72.31,18.44,128.89,57.4,120.03
95.79,21.02,43.2,98.2,68.5,31.06,55.79,,40.4448,41.4333,34.49,18.26,49.56,55.61,143.04,16.905,91.316,173.12,59.73,8.49,99.71,1604.325,52.99,52.54,41.77,25.54,170.65,51.49,166.38,97.12,36.27,29.23,27.42,147.64,10.14,64.46,95.39,23.54,57.4,72.39,65.55,56.88,33.15,29.9,76.46,61.22,106.88,36.39,137.605,59.8,23.54,48.127,24.87,26.3,106.6541,74.36,18.3,130.7,57.44,119.82
96.68,21.32,43.13,99.24,68.99,31.41,55.16,,39.7368,41.5133,34.29,18.61,49.84,55.87,144.05,17.215,93.952,174.13,61.25,8.61,99.98,1595.979,52.98,51.89,42.75,26.22,171.39,51.06,166.56,96.91,36.51,29.17,27.91,144.85,9.94,64.33,94.47,23.96,56.9,72.59,65.5,56.69,34.22,29.88,80.54,60.39,108.07,36.33,147.09,60.69,23.78,49.5025,25.17,26.31,106.0836,74.06,18.38,131.87,57.45,122.45
91.62,21.82,42.6,99.86,68.06,30.44,55.26,,40.1149,42.4467,34.42,18.15,49.83,56.255,147.34,17.07,95.772,176.43,61.04,8.35,101.94,1613.818,53.47,52.17,42.38,26.26,179.79,51.17,162.86,98.2,36.21,29.34,27.61,144.47,9.39,65.11,96.26,23.97,57.97,73.1,65.37,57.1,33.82,29.91,81.53,60.85,107.98,37.02,151.672,60.71,23.49,49.1655,24.86,26.55,106.291,74.11,18.35,133.74,55.16,123.19
88.64,21.53,42.47,99.87,68.06,30.03,55.11,,39.5758,43.0933,34.58,18.12,49.63,56.44,145.68,16.9,93.104,176.0,60.27,8.22,100.67,1590.365,54.01,52.26,42.47,24.68,175.88,50.97,161.47,97.96,35.46,29.02,27.55,143.05,9.22,64.47,95.34,23.96,58.23,73.06,65.61,56.55,33.8,29.89,80.83,60.95,107.84,37.15,150.241,60.4,23.4,49.1473,24.48,26.62,105.6479,74.2,18.57,132.58,54.54,122.68
89.41,21.21,41.35,99.62,68.84,29.95,54.9,,39.6,43.08,34.66,17.51,49.4,56.635,145.02,17.055,92.648,177.15,60.42,8.09,100.32,1582.136,53.68,51.76,42.96,25.25,171.94,51.2,161.7,97.56,35.19,29.03,27.59,143.2,9.23,64.06,96.69,24.13,58.1,73.71,69.14,56.54,34.19,30.11,79.71,60.38,108.46,36.34,151.266,60.63,23.97,49.1382,24.92,26.35,104.486,74.8,19.63,130.96,54.13,121.37
88.94,21.52,37.29,99.29,69.03,29.95,54.87,,39.0287,42.86,35.13,17.38,49.52,56.915,144.4,16.735,92.29,177.93,60.83,7.83,100.88,1578.639,53.07,52.38,43.95,24.24,172.33,51.43,159.24,96.23,35.07,29.38,27.04,142.91,9.13,63.54,95.32,24.34,57.62,73.59,67.65,57.44,34.08,29.89,80.27,60.91,108.56,36.09,152.356,60.56,23.54,50.0127,24.15,26.21,104.6623,74.61,20.61,130.51,52.25,122.57
88.35,21.28,36.98,99.5,69.96,29.91,54.95,,39.2942,44.1,35.19,17.55,49.61,56.93,142.01,16.505,90.288,180.98,61.0,8.24,98.9,1569.499,51.93,52.59,45.02,24.7,174.13,51.76,156.33,96.21,35.27,29.32,27.88,143.05,9.1,63.02,94.0,24.55,57.23,73.18,68.23,58.61,35.27,30.87,81.15,60.34,108.18,35.53,148.868,59.59,24.54,50.9874,24.93,26.2,102.9507,75.6,20.98,128.5,51.97,123.11
87.39,21.53,38.45,100.63,70.21,29.46,55.84,,39.6804,45.3467,33.0,16.48,50.29,56.835,142.12,15.76,90.846,177.53,61.76,7.83,99.32,1571.017,51.37,53.12,44.88,22.99,176.25,52.13,154.26,97.48,34.51,29.44,26.81,143.84,8.87,64.22,92.87,24.18,58.27,73.22,68.27,58.84,34.88,31.34,80.07,60.61,108.4,36.2,149.095,59.51,23.36,51.534,24.97,26.53,105.9902,75.42,21.05,129.61,50.75,123.04
87.14,21.53,39.49,101.23,70.4,29.59,55.76,,40.131,45.5,32.91,16.7,50.52,56.89,141.56,15.68,91.214,177.01,61.65,7.7,100.18,1585.565,51.24,53.53,44.08,22.88,176.9,52.64,155.39,96.88,34.95,29.45,26.66,143.9,8.9,63.8,93.42,24.47,57.9,73.29,67.96,58.92,34.86,31.44,80.14,60.59,108.3,35.93,151.712,60.8,22.83,49.1928,24.95,26.62,106.3844,75.42,20.76,129.81,51.56,121.69
87.23,21.47,38.4,100.5,70.76,29.84,55.27,,39.2218,45.1267,32.12,16.46,50.29,56.74,139.84,15.79,89.454,173.73,61.08,7.89,100.2,1605.805,51.24,53.13,44.75,24.19,176.87,52.24,154.49,95.42,34.95,29.17,26.95,143.35,8.9,63.66,92.27,24.59,58.05,73.37,68.04,59.42,36.04,31.12,78.68,60.26,107.8,35.81,149.439,61.34,23.24,51.534,26.68,26.52,106.3325,74.98,21.01,130.58,51.32,120.95
90.14,21.69,38.65,99.55,70.57,30.13,55.14,,39.9138,45.2,31.69,15.95,51.38,56.295,143.75,15.745,89.648,172.6,61.21,7.86,100.63,1625.378,50.86,52.86,44.97,23.7,179.48,52.13,157.83,94.97,34.41,29.46,26.8,144.04,9.09,63.2,95.9,24.5,58.05,73.51,67.46,60.1,36.11,31.13,77.48,60.1,108.07,35.72,151.739,61.57,23.04,50.9419,26.24,26.37,107.7019,74.85,20.91,130.1,52.22,120.7
89.53,21.86,38.31,98.2,69.98,29.92,55.02,,39.4552,45.02,30.38,15.7,51.32,55.845,136.8,15.555,88.162,172.34,60.19,7.76,100.91,1596.851,50.8,52.96,44.32,23.45,177.72,52.17,157.13,94.77,33.51,29.68,26.15,144.74,9.02,63.52,97.26,24.36,57.36,73.71,68.22,59.37,35.77,31.3,76.52,60.71,107.84,35.83,151.085,61.25,22.94,52.1353,26.0,26.41,106.872,74.49,20.25,130.05,51.61,118.67
89.94,21.98,38.63,97.6,69.4,29.85,54.74,,39.3506,44.8667,29.92,15.75,51.26,55.53,136.0,15.48,86.342,170.88,60.44,7.47,100.53,1591.012,51.57,53.25,44.16,23.54,173.19,52.11,157.07,93.26,33.34,30.13,25.61,145.24,8.94,63.35,96.79,24.15,57.06,73.55,67.06,59.59,35.35,30.89,76.44,61.51,107.36,35.86,152.254,60.73,22.53,51.37,26.07,26.44,107.5982,73.58,19.6,131.03,51.47,118.17
90.63,22.4,39.33,98.14,69.94,29.84,55.21,,39.5437,44.84,30.22,16.22,50.91,55.485,137.59,15.605,87.718,170.66,60.55,7.57,100.16,1594.882,52.54,53.12,44.14,23.03,176.39,52.36,156.77,93.62,33.45,30.28,25.9,145.06,8.97,63.94,96.63,23.96,56.94,73.51,67.48,59.39,34.92,30.92,75.29,62.37,106.29,36.21,153.664,60.47,21.38,51.0968,25.35,26.86,109.8493,73.51,20.02,129.96,51.37,119.79
90.04,22.24,39.62,98.05,69.54,29.51,55.39,,40.0103,45.4867,29.43,16.42,51.32,55.43,136.27,15.115,86.814,168.32,60.77,7.32,98.57,1560.025,51.68,53.05,44.26,21.35,174.93,52.48,156.94,94.1,33.0,30.02,24.62,145.41,8.93,64.06,93.69,23.87,56.2,73.33,66.9,59.28,34.54,30.83,75.85,62.34,105.99,35.84,147.212,60.16,21.81,50.5046,24.79,26.96,108.8845,73.78,19.07,128.94,50.44,120.48
86.96,21.69,39.23,97.05,68.27,28.08,55.14,,39.431,45.88,28.51,16.1,51.44,54.74,129.82,14.66,84.634,168.22,58.92,7.36,99.11,1521.858,50.62,52.89,43.29,20.13,173.3,51.53,154.77,92.96,32.5,29.94,24.49,143.0,8.66,63.41,89.29,23.23,55.94,73.64,65.36,59.0,33.75,30.41,73.21,61.95,104.08,34.64,139.77,59.01,21.93,49.7576,23.81,26.66,106.3325,72.97,18.76,126.99,47.72,118.81
88.85,21.72,39.55,98.13,69.16,28.64,55.37,,40.8792,45.06,29.47,16.39,52.0,55.17,133.11,14.8,88.938,169.56,59.58,7.56,103.42,1583.214,51.35,53.31,43.59,21.79,176.01,51.68,155.74,93.81,33.47,29.79,24.87,142.96,8.92,63.04,92.29,23.61,56.24,73.81,66.24,59.32,33.9,30.31,75.0,58.85,105.17,34.76,143.403,59.85,21.98,50.8963,24.59,26.95,108.8534,73.85,18.53,127.63,51.55,120.28
89.27,21.31,39.52,95.12,68.2,28.56,54.24,,39.8655,44.5133,28.89,15.91,51.2,54.49,129.52,14.445,85.928,165.81,58.67,7.55,102.5,1526.09,49.99,53.47,42.96,21.3,174.68,51.72,152.33,92.56,31.95,29.63,24.33,141.0,8.93,61.75,90.06,23.11,55.28,71.87,62.98,57.28,33.66,29.77,73.76,57.71,103.5,33.53,139.429,59.1,21.39,49.9307,23.36,26.39,108.1687,72.46,18.22,125.98,52.52,119.1
91.01,21.58,39.69,95.75,68.67,29.0,54.51,,40.3965,44.7533,29.92,18.83,51.54,54.61,131.63,14.77,86.922,171.48,59.61,8.0,102.64,1596.851,50.76,52.85,43.52,22.15,179.07,51.9,157.72,94.56,32.76,29.84,25.21,142.08,9.25,63.02,92.32,23.43,56.1,72.3,63.97,59.03,33.85,29.74,75.95,58.05,104.52,34.06,147.245,60.05,21.56,50.4955,24.0,26.54,111.4365,72.75,19.81,126.64,55.67,118.21
88.72,21.8,39.93,96.44,69.28,28.55,55.09,,40.7344,45.7,31.35,17.49,51.96,55.17,135.1,15.115,90.768,172.8,60.13,7.91,103.97,1631.491,51.29,53.46,44.14,21.29,182.12,52.27,154.91,95.65,32.55,30.02,24.21,144.4,9.0,62.75,93.84,23.68,55.96,71.87,64.92,59.81,33.85,30.16,77.48,59.1,105.66,34.0,158.132,61.05,21.55,50.2131,23.59,26.71,112.4739,73.9,19.75,127.85,52.56,118.23
88.59,21.91,40.41,96.21,69.11,28.57,54.88,,41.3619,45.6333,31.48,17.49,51.13,55.95,133.76,15.66,89.766,173.49,60.91,8.25,103.01,1579.746,50.83,52.74,45.29,22.35,178.3,51.92,154.65,94.2,33.0,29.89,25.42,144.47,9.16,61.8,97.3,23.74,55.1,72.86,65.9,60.18,34.41,30.17,76.85,59.47,105.54,33.84,156.218,60.76,22.24,49.7576,23.05,26.77,112.0589,74.2,19.97,126.73,52.04,116.89
87.8,22.23,41.12,97.93,69.88,28.2,56.05,,41.9573,46.3133,31.6,17.24,51.18,56.3,133.83,15.835,89.966,174.09,61.29,8.08,101.0,1579.148,51.18,52.31,45.29,22.75,178.17,51.92,153.4,95.68,33.89,29.88,25.93,145.29,8.98,62.25,97.5,24.03,55.06,72.96,66.94,60.98,34.89,30.4,76.35,59.32,106.3,35.35,161.446,61.1,21.97,50.3133,23.29,26.76,111.6232,74.67,20.67,126.76,50.98,117.55
90.5,22.37,39.96,97.84,70.03,28.51,55.46,,41.9895,45.94,32.04,17.88,51.38,56.47,135.42,16.14,90.894,174.57,62.68,8.13,102.25,1572.349,50.43,51.82,44.91,23.8,181.65,51.57,154.61,94.93,34.48,29.35,25.81,146.08,9.28,62.02,97.59,24.11,54.45,72.92,68.4,62.24,35.39,30.53,76.12,59.16,106.68,36.9,164.385,60.91,22.12,50.2404,23.43,27.0,111.5506,74.6,21.45,126.32,51.87,117.56
92.39,22.23,39.86,97.77,70.79,28.6,55.57,,42.2389,45.5933,32.8,18.78,51.67,56.67,135.38,16.37,90.572,175.31,64.13,8.21,101.22,1573.731,50.32,51.72,45.61,24.22,183.82,51.56,156.17,95.35,33.93,28.93,25.9,145.78,9.42,62.09,98.22,24.44,54.97,73.13,69.59,62.76,36.01,30.53,76.31,59.54,107.13,37.64,171.794,61.2,22.48,50.0856,24.74,27.26,110.3887,75.13,22.0,126.07,53.04,116.98
91.96,22.22,39.18,97.62,70.93,28.5,55.45,,42.3515,45.0533,32.83,19.24,51.39,56.6,136.26,16.215,90.246,173.53,65.87,7.89,100.75,1563.866,50.1,51.56,45.38,23.83,191.04,51.7,157.02,95.38,35.29,28.82,25.66,146.79,9.33,62.51,97.54,24.69,54.53,73.04,69.46,62.48,35.26,30.54,76.38,58.38,107.07,37.45,182.299,61.6,22.63,49.4479,24.18,27.25,109.8182,75.06,22.71,125.42,52.71,116.69
92.75,22.21,39.24,97.31,70.59,28.58,55.62,,41.9734,44.5267,32.48,20.88,51.55,56.58,135.36,16.495,89.824,174.36,65.72,8.49,100.58,1580.677,49.4,51.81,45.84,24.31,195.99,51.82,157.99,96.01,34.94,29.01,26.0,151.82,9.32,62.26,97.0,24.6,54.5,72.83,70.13,62.15,35.5,30.69,76.3,58.39,105.93,37.4,185.734,61.74,23.04,49.6028,24.99,27.07,108.5214,75.01,22.2,124.98,52.04,116.45
90.32,22.54,39.36,96.84,70.72,28.21,55.35,,43.4779,43.2333,32.49,19.83,51.18,56.49,137.31,16.67,90.202,175.57,65.96,8.34,100.38,1587.044,48.85,51.79,44.56,24.5,191.57,51.66,156.13,95.95,35.49,28.58,25.54,149.79,9.25,62.04,98.53,24.94,54.48,72.66,69.76,61.31,35.18,30.62,75.1,57.73,105.81,37.44,185.801,62.46,22.63,50.204,25.11,26.85,108.9779,75.16,22.64,124.95,50.67,115.96
